Aircraft,Reg,Cockpit,Cabin,Pantry,WaterPercent,BasicWeight,DOI
A321-231,TC-JRA,2,5,S,75,50049,37.5
A321-231,TC-JRA,2,5,D,75,49933,35.8
A321-231,TC-JRA,2,5,F,75,49369,33.3
A321-231,TC-JRA,2,6,L,75,50698,42.1
A321-231,TC-JRA,2,6,M,75,50425,40.4
A321-231,TC-JRA,2,6,S,75,50124,36.3
A321-231,TC-JRA,2,6,D,75,50008,34.6
A321-231,TC-JRA,2,6,F,75,49444,32.1
A321-231,TC-JRA,2,7,L,75,50773,43.3
A321-231,TC-JRA,2,7,M,75,50500,41.6
A321-231,TC-JRA,2,7,S,75,50199,37.5
A321-231,TC-JRA,2,7,D,75,50083,35.8
A321-231,TC-JRA,2,7,F,75,49519,33.3
A321-231,TC-JRA,2,8,L,75,50848,44.5
A321-231,TC-JRA,2,8,M,75,50575,42.8
A321-231,TC-JRA,2,8,S,75,50274,38.7
A321-231,TC-JRA,2,8,D,75,50158,37.0
A321-231,TC-JRA,2,8,F,75,49594,34.5
A321-231,TC-JRA,3,0,L,75,50333,41.0
A321-231,TC-JRA,3,0,M,75,50060,39.3
A321-231,TC-JRA,3,0,S,75,49759,35.2
A321-231,TC-JRA,3,0,D,75,49643,33.5
A321-231,TC-JRA,3,0,F,75,49079,31.0
A321-231,TC-JRA,3,1,L,75,50408,39.8
A321-231,TC-JRA,3,1,M,75,50135,38.1
A321-231,TC-JRA,3,1,S,75,49834,34.0
A321-231,TC-JRA,3,1,D,75,49718,32.3
A321-231,TC-JRA,3,1,F,75,49154,29.8
A321-231,TC-JRA,3,2,L,75,50483,41.0
A321-231,TC-JRA,3,2,M,75,50210,39.3
A321-231,TC-JRA,3,2,S,75,49909,35.2
A321-231,TC-JRA,3,2,D,75,49793,33.5
A321-231,TC-JRA,3,2,F,75,49229,31.0
A321-231,TC-JRA,3,4,L,75,50633,40.7
A321-231,TC-JRA,3,4,M,75,50360,39.0
A321-231,TC-JRA,3,4,S,75,50059,34.9
A321-231,TC-JRA,3,4,D,75,49943,33.2
A321-231,TC-JRA,3,4,F,75,49379,30.7
A321-231,TC-JRA,3,5,L,75,50708,41.8
A321-231,TC-JRA,3,5,M,75,50435,40.1
A321-231,TC-JRA,3,5,S,75,50134,36.0
A321-231,TC-JRA,3,5,D,75,50018,34.3
A321-231,TC-JRA,3,5,F,75,49454,31.8
A321-231,TC-JRA,3,6,L,75,50783,40.6
A321-231,TC-JRA,3,6,M,75,50510,38.9
A321-231,TC-JRA,3,6,S,75,50209,34.8
A321-231,TC-JRA,3,6,D,75,50093,33.1
A321-231,TC-JRA,3,6,F,75,49529,30.6
A321-231,TC-JRA,3,7,L,75,50858,41.8
A321-231,TC-JRA,3,7,M,75,50585,40.1
A321-231,TC-JRA,3,7,S,75,50284,36.0
A321-231,TC-JRA,3,7,D,75,50168,34.3
A321-231,TC-JRA,3,7,F,75,49604,31.8
A321-231,TC-JRA,3,8,L,75,50933,43.0
A321-231,TC-JRA,3,8,M,75,50660,41.3
A321-231,TC-JRA,3,8,S,75,50359,37.2
A321-231,TC-JRA,3,8,D,75,50243,35.5
A321-231,TC-JRA,3,8,F,75,49679,33.0
A321-231,TC-JRA,2,0,L,50,50198,41.7
A321-231,TC-JRA,2,0,M,50,49925,40.0
A321-231,TC-JRA,2,0,S,50,49624,35.9
A321-231,TC-JRA,2,0,D,50,49508,34.2
A321-231,TC-JRA,2,0,F,50,48944,31.7
A321-231,TC-JRA,2,1,L,50,50273,40.5
A321-231,TC-JRA,2,1,M,50,50000,38.8
A321-231,TC-JRA,2,1,S,50,49699,34.7
A321-231,TC-JRA,2,1,D,50,49583,33.0
A321-231,TC-JRA,2,1,F,50,49019,30.5
A321-231,TC-JRA,2,2,L,50,50348,41.7
A321-231,TC-JRA,2,2,M,50,50075,40.0
A321-231,TC-JRA,2,2,S,50,49774,35.9
A321-231,TC-JRA,2,2,D,50,49658,34.2
A321-231,TC-JRA,2,2,F,50,49094,31.7
A321-231,TC-JRA,2,4,L,50,50498,41.4
A321-231,TC-JRA,2,4,M,50,50225,39.7
A321-231,TC-JRA,2,4,S,50,49924,35.6
A321-231,TC-JRA,2,4,D,50,49808,33.9
A321-231,TC-JRA,2,4,F,50,49244,31.4
